Date,Ticker,Sector,Close,Return
08-06-2020,MARUTI,AUTOMOBILE,5734.8,-1.014913007
08-06-2020,NESTLEIND,CONSUMER GOODS,16836.2,-2.02083982
08-06-2020,NTPC,POWER,98.55,0.663942799
08-06-2020,ONGC,OIL & GAS,90.95,8.338296605
08-06-2020,POWERGRID,POWER,172.35,8.498583569
08-06-2020,RELIANCE,OIL & GAS,1569.5,3.232808235
08-06-2020,SBIN,FINANCIAL SERVICES,186.8,9.850044105
08-06-2020,SHREECEM,CEMENT & CEMENT PRODUCTS,21180.9,0.529442057
08-06-2020,SUNPHARMA,PHARMA,489,5.070906747
08-06-2020,TATAMOTORS,AUTOMOBILE,115.45,28.92238973
08-06-2020,TATASTEEL,METALS,333.6,5.837563452
08-06-2020,TCS,IT,2071.75,1.295685124
08-06-2020,TECHM,IT,590,8.545671971
08-06-2020,TITAN,CONSUMER GOODS,1025,6.893315257
08-06-2020,ULTRACEMCO,CEMENT & CEMENT PRODUCTS,3778.2,-0.982781665
08-06-2020,UPL,FERTILISERS & PESTICIDES,436.8,4.173622705
08-06-2020,VEDL,METALS,105.1,12.2263748
08-06-2020,WIPRO,IT,226.45,5.301092769
08-06-2020,ZEEL,MEDIA & ENTERTAINMENT,197.05,5.997848306
09-06-2020,ADANIPORTS,SERVICES,346.05,5.070593593
09-06-2020,ASIANPAINT,CONSUMER GOODS,1642.05,-3.023770855
09-06-2020,AXISBANK,FINANCIAL SERVICES,420.05,5.819372717
09-06-2020,BAJAJ-AUTO,AUTOMOBILE,2791.15,1.190950948
09-06-2020,BAJAJFINSV,FINANCIAL SERVICES,5310.8,11.49647296
09-06-2020,BAJFINANCE,FINANCIAL SERVICES,2443.6,13.08512854
09-06-2020,BHARTIARTL,TELECOM,567.8,1.565155174
09-06-2020,BPCL,OIL & GAS,381.5,10.16459717
09-06-2020,BRITANNIA,CONSUMER GOODS,3415.7,-0.557520707
09-06-2020,CIPLA,PHARMA,640.05,-0.381322957
09-06-2020,COALINDIA,METALS,144.3,-2.860989566
09-06-2020,DRREDDY,PHARMA,4123.8,4.306256402
09-06-2020,EICHERMOT,AUTOMOBILE,17026.85,0.241967532
09-06-2020,GAIL,OIL & GAS,101.1,9.951060359
09-06-2020,GRASIM,CEMENT & CEMENT PRODUCTS,611.9,4.867180805
09-06-2020,HCLTECH,IT,572.85,2.340330505
09-06-2020,HDFC,FINANCIAL SERVICES,1772.1,1.979628244
09-06-2020,HDFCBANK,FINANCIAL SERVICES,987.3,-0.035437655
09-06-2020,HEROMOTOCO,AUTOMOBILE,2387.3,2.622189743
09-06-2020,HINDALCO,METALS,142.6,2.479338843
09-06-2020,HINDUNILVR,CONSUMER GOODS,2106.5,-0.09722321
09-06-2020,ICICIBANK,FINANCIAL SERVICES,348.55,2.741341194
09-06-2020,INDUSINDBK,FINANCIAL SERVICES,463.9,13.11875152
09-06-2020,INFRATEL,TELECOM,233,3.901895206
09-06-2020,INFY,IT,717.6,2.580230148
09-06-2020,IOC,OIL & GAS,90.65,5.223447475
09-06-2020,ITC,CONSUMER GOODS,198.5,-1.02218898
09-06-2020,JSWSTEEL,METALS,190.05,-2.010827533
09-06-2020,KOTAKBANK,FINANCIAL SERVICES,1304.15,4.465716117
09-06-2020,LT,CONSTRUCTION,953.3,2.709691321
09-06-2020,M&M,AUTOMOBILE,478.75,3.82780308
09-06-2020,MARUTI,AUTOMOBILE,5662.3,-2.266293841
09-06-2020,NESTLEIND,CONSUMER GOODS,16552.55,-3.671556061
09-06-2020,NTPC,POWER,98,0.102145046
09-06-2020,ONGC,OIL & GAS,90,7.206670637
09-06-2020,POWERGRID,POWER,170.55,7.365439093
09-06-2020,RELIANCE,OIL & GAS,1537.15,1.105008715
09-06-2020,SBIN,FINANCIAL SERVICES,184.45,8.468097618
09-06-2020,SHREECEM,CEMENT & CEMENT PRODUCTS,21009.8,-0.28263805
09-06-2020,SUNPHARMA,PHARMA,500.75,7.595616674
09-06-2020,TATAMOTORS,AUTOMOBILE,111.45,24.45561139
09-06-2020,TATASTEEL,METALS,332.2,5.393401015
09-06-2020,TCS,IT,2072.05,1.310353258
09-06-2020,TECHM,IT,586.2,7.846564254
09-06-2020,TITAN,CONSUMER GOODS,997.1,3.983731359
09-06-2020,ULTRACEMCO,CEMENT & CEMENT PRODUCTS,3791.35,-0.638152895
09-06-2020,UPL,FERTILISERS & PESTICIDES,430.6,2.694967803
09-06-2020,VEDL,METALS,104.6,11.69247197
09-06-2020,WIPRO,IT,218.35,1.534526854
09-06-2020,ZEEL,MEDIA & ENTERTAINMENT,192.4,3.496503497
10-06-2020,ADANIPORTS,SERVICES,346.55,5.222407773
10-06-2020,ASIANPAINT,CONSUMER GOODS,1635.95,-3.384024804
10-06-2020,AXISBANK,FINANCIAL SERVICES,427.45,7.683587354
10-06-2020,BAJAJ-AUTO,AUTOMOBILE,2717.2,-1.490048218
10-06-2020,BAJAJFINSV,FINANCIAL SERVICES,5223,9.653174337
10-06-2020,BAJFINANCE,FINANCIAL SERVICES,2435.65,12.71721776
10-06-2020,BHARTIARTL,TELECOM,567.1,1.43994276
10-06-2020,BPCL,OIL & GAS,378.95,9.428241409
10-06-2020,BRITANNIA,CONSUMER GOODS,3377,-1.684207462
10-06-2020,CIPLA,PHARMA,642.95,0.070038911
10-06-2020,COALINDIA,METALS,140.7,-5.284416022
10-06-2020,DRREDDY,PHARMA,4112.5,4.020437328
10-06-2020,EICHERMOT,AUTOMOBILE,17090.05,0.614044125
10-06-2020,GAIL,OIL & GAS,98.1,6.688417618
10-06-2020,GRASIM,CEMENT & CEMENT PRODUCTS,614.75,5.355612682
10-06-2020,HCLTECH,IT,578.7,3.385439929
10-06-2020,HDFC,FINANCIAL SERVICES,1809.3,4.12038902
10-06-2020,HDFCBANK,FINANCIAL SERVICES,991.85,0.42525186
10-06-2020,HEROMOTOCO,AUTOMOBILE,2292.25,-1.463697717
10-06-2020,HINDALCO,METALS,146.95,5.605461732
10-06-2020,HINDUNILVR,CONSUMER GOODS,2119.6,0.524056816
10-06-2020,ICICIBANK,FINANCIAL SERVICES,353,4.053058217
10-06-2020,INDUSINDBK,FINANCIAL SERVICES,499.6,21.82394538
10-06-2020,INFRATEL,TELECOM,232.7,3.768115942
10-06-2020,INFY,IT,715.85,2.33006933
10-06-2020,IOC,OIL & GAS,89.95,4.410911201
10-06-2020,ITC,CONSUMER GOODS,199.05,-0.747943156
10-06-2020,JSWSTEEL,METALS,190.95,-1.54679041
10-06-2020,KOTAKBANK,FINANCIAL SERVICES,1332.25,6.716597244
10-06-2020,LT,CONSTRUCTION,946.55,1.982438183
10-06-2020,M&M,AUTOMOBILE,472.05,2.374756018
10-06-2020,MARUTI,AUTOMOBILE,5675.6,-2.036730185
10-06-2020,NESTLEIND,CONSUMER GOODS,16534.7,-3.775435084
10-06-2020,NTPC,POWER,98.15,0.255362615
10-06-2020,ONGC,OIL & GAS,88.25,5.122096486
10-06-2020,POWERGRID,POWER,170.05,7.050676739
10-06-2020,RELIANCE,OIL & GAS,1572.15,3.407110205
10-06-2020,SBIN,FINANCIAL SERVICES,187.7,10.37930021
10-06-2020,SHREECEM,CEMENT & CEMENT PRODUCTS,21513.3,2.107089208
10-06-2020,SUNPHARMA,PHARMA,499.15,7.251826386
10-06-2020,TATAMOTORS,AUTOMOBILE,111.4,24.39977666
10-06-2020,TATASTEEL,METALS,324,2.791878173
10-06-2020,TCS,IT,2108.75,3.10475492
10-06-2020,TECHM,IT,590.5,8.637659829
10-06-2020,TITAN,CONSUMER GOODS,977.25,1.913651059
10-06-2020,ULTRACEMCO,CEMENT & CEMENT PRODUCTS,3792.45,-0.609324632
10-06-2020,UPL,FERTILISERS & PESTICIDES,425,1.359408538
10-06-2020,VEDL,METALS,106.1,13.29418046
10-06-2020,WIPRO,IT,217,0.906765868
10-06-2020,ZEEL,MEDIA & ENTERTAINMENT,189.8,2.097902098
11-06-2020,ADANIPORTS,SERVICES,338.65,2.823743738
11-06-2020,ASIANPAINT,CONSUMER GOODS,1610.6,-4.881145726
11-06-2020,AXISBANK,FINANCIAL SERVICES,413.45,4.156694798
11-06-2020,BAJAJ-AUTO,AUTOMOBILE,2718.55,-1.441105028
11-06-2020,BAJAJFINSV,FINANCIAL SERVICES,5158,8.288545516
11-06-2020,BAJFINANCE,FINANCIAL SERVICES,2338.9,8.239813037
11-06-2020,BHARTIARTL,TELECOM,551.85,-1.287899115
11-06-2020,BPCL,OIL & GAS,370.05,6.85821542
11-06-2020,BRITANNIA,CONSUMER GOODS,3370.35,-1.877811258
11-06-2020,CIPLA,PHARMA,635,-1.167315175
11-06-2020,COALINDIA,METALS,137.7,-7.303938068
11-06-2020,DRREDDY,PHARMA,4057.6,2.631811916
11-06-2020,EICHERMOT,AUTOMOBILE,16442.8,-3.196502951
11-06-2020,GAIL,OIL & GAS,95.55,3.915171289
11-06-2020,GRASIM,CEMENT & CEMENT PRODUCTS,590.6,1.216795201
11-06-2020,HCLTECH,IT,578.05,3.269316659
11-06-2020,HDFC,FINANCIAL SERVICES,1787.45,2.862979801
11-06-2020,HDFCBANK,FINANCIAL SERVICES,968.6,-1.928820939
11-06-2020,HEROMOTOCO,AUTOMOBILE,2309.95,-0.702832825
11-06-2020,HINDALCO,METALS,144.4,3.772906935
11-06-2020,HINDUNILVR,CONSUMER GOODS,2106.9,-0.078252828
11-06-2020,ICICIBANK,FINANCIAL SERVICES,341.25,0.589535741
11-06-2020,INDUSINDBK,FINANCIAL SERVICES,523.15,27.56644721
11-06-2020,INFRATEL,TELECOM,210.8,-5.997770346
11-06-2020,INFY,IT,703.95,0.62897577
11-06-2020,IOC,OIL & GAS,88.35,2.553685432
11-06-2020,ITC,CONSUMER GOODS,194.25,-3.141361257
11-06-2020,JSWSTEEL,METALS,184.65,-4.795050271
11-06-2020,KOTAKBANK,FINANCIAL SERVICES,1298.7,4.029157321
11-06-2020,LT,CONSTRUCTION,930.45,0.247804773
11-06-2020,M&M,AUTOMOBILE,474.55,2.916937758
11-06-2020,MARUTI,AUTOMOBILE,5426.15,-6.342343275
11-06-2020,NESTLEIND,CONSUMER GOODS,16608.25,-3.347406953
11-06-2020,NTPC,POWER,98.05,0.153217569
11-06-2020,ONGC,OIL & GAS,86.9,3.513996426
11-06-2020,POWERGRID,POWER,171,7.648725212
11-06-2020,RELIANCE,OIL & GAS,1537.7,1.141184596
11-06-2020,SBIN,FINANCIAL SERVICES,177.15,4.175242576
11-06-2020,SHREECEM,CEMENT & CEMENT PRODUCTS,21251.2,0.863102089
11-06-2020,SUNPHARMA,PHARMA,473.65,1.772668672
11-06-2020,TATAMOTORS,AUTOMOBILE,106.15,18.53713009
11-06-2020,TATASTEEL,METALS,313.15,-0.650380711
11-06-2020,TCS,IT,2067.65,1.095220633
11-06-2020,TECHM,IT,571.85,5.20651274
11-06-2020,TITAN,CONSUMER GOODS,951.25,-0.797789133
11-06-2020,ULTRACEMCO,CEMENT & CEMENT PRODUCTS,3704.9,-2.903792227
