Date,Sector,Ticker,Close,Return
08-05-2020,OIL & GAS,IOC,74.35,-6.771159875
08-05-2020,CONSUMER GOODS,ITC,158.25,-9.077851192
08-05-2020,METALS,JSWSTEEL,168.65,3.118312443
08-05-2020,FINANCIAL SERVICES,KOTAKBANK,1217.45,-4.72296134
08-05-2020,CONSTRUCTION,LT,815.95,-4.079233527
08-05-2020,AUTOMOBILE,M&M,386.7,8.304159081
08-05-2020,AUTOMOBILE,MARUTI,4654.15,-4.751038618
08-05-2020,CONSUMER GOODS,NESTLEIND,17802.95,1.984939664
08-05-2020,POWER,NTPC,87,-4.86604702
08-05-2020,OIL & GAS,ONGC,76,-0.718484651
08-05-2020,POWER,POWERGRID,159,-0.031436655
08-05-2020,OIL & GAS,RELIANCE,1561.8,8.821070234
08-05-2020,FINANCIAL SERVICES,SBIN,166.65,-6.82135868
08-05-2020,CEMENT & CEMENT PRODUCTS,SHREECEM,18732.75,0.57852349
08-05-2020,PHARMA,SUNPHARMA,469,0.762702761
08-05-2020,AUTOMOBILE,TATAMOTORS,81.05,-3.396901073
08-05-2020,METALS,TATASTEEL,272.9,-0.255847953
08-05-2020,IT,TCS,1893.4,-1.919241628
08-05-2020,IT,TECHM,536.2,6.717086277
08-05-2020,CONSUMER GOODS,TITAN,832.85,-6.615462241
08-05-2020,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,3305.8,-1.248655753
08-05-2020,FERTILISERS & PESTICIDES,UPL,364.6,-5.39699014
08-05-2020,METALS,VEDL,77.4,-3.189493433
08-05-2020,IT,WIPRO,184,-3.183372797
08-05-2020,MEDIA & ENTERTAINMENT,ZEEL,150.65,2.903005464
11-05-2020,SERVICES,ADANIPORTS,289.7,8.766660409
11-05-2020,CONSUMER GOODS,ASIANPAINT,1569.6,-6.393129771
11-05-2020,FINANCIAL SERVICES,AXISBANK,379.55,-5.772095333
11-05-2020,AUTOMOBILE,BAJAJ-AUTO,2566.3,5.083635321
11-05-2020,FINANCIAL SERVICES,BAJAJFINSV,4558,-4.290948796
11-05-2020,FINANCIAL SERVICES,BAJFINANCE,2015.05,-3.106291924
11-05-2020,TELECOM,BHARTIARTL,536.2,0.694835681
11-05-2020,OIL & GAS,BPCL,314.8,-9.514228227
11-05-2020,CONSUMER GOODS,BRITANNIA,3053.95,-1.26093212
11-05-2020,PHARMA,CIPLA,586.05,-4.216719784
11-05-2020,METALS,COALINDIA,128.45,-9.732958538
11-05-2020,PHARMA,DRREDDY,3862,-1.954810866
